delivery_date,model_version,actual_revision,github_run_id,github_run_attempt,actual_periods,graded_periods,model_mae_gbp_mwh,model_rmse_gbp_mwh,model_bias_gbp_mwh,persistence_mae_gbp_mwh,improvement_percent,p10_p90_coverage,actual_negative_periods,deployment_ready,deployment_mode,graded_delivery_days_total,deployment_model_mae_gbp_mwh,deployment_persistence_mae_gbp_mwh,deployment_improvement_percent,deployment_p10_p90_coverage,detail_path
2026-08-02,core-12m-operational-v1,initial,30814667225,1,48,0,,,,,,,,False,shadow_only,1,54.71614598555478,10.920000000000002,-401.06360792632574,0.14583333333333334,logs/daily/2026-08-02/grading-run-30814667225-attempt-1.json
2026-08-01,core-12m-operational-v1,initial,33110762739,1,48,48,49.8261973563073,53.358568822116965,-49.8261973563073,10.920000000000002,-356.2838585742426,0.14583333333333334,0,False,shadow_only,25,54.857898010098864,20.45377489177489,-168.20427182934802,0.03666666666666667,logs/daily/2026-08-01/grading-run-33110762739-attempt-1.json
2026-08-03,core-12m-operational-v1,initial,33110762739,1,48,48,52.12524260632168,53.166305756305704,-52.12524260632168,10.405416666666666,-400.9433478363514,0.0,0,False,shadow_only,25,54.857898010098864,20.45377489177489,-168.20427182934802,0.03666666666666667,logs/daily/2026-08-03/grading-run-33110762739-attempt-1.json
2026-08-04,core-12m-operational-v1,initial,33110762739,1,48,48,49.22905258858518,50.329299044466026,-49.22905258858518,8.130208333333334,-505.50788577888244,0.0,0,False,shadow_only,25,54.857898010098864,20.45377489177489,-168.20427182934802,0.03666666666666667,logs/daily/2026-08-04/grading-run-33110762739-attempt-1.json
2026-08-05,core-12m-operational-v1,initial,33110762739,1,48,48,37.17044269204243,41.67762965189952,-15.320516113161295,38.521458333333335,3.5071767782006527,0.14583333333333334,0,False,shadow_only,25,54.857898010098864,20.45377489177489,-168.20427182934802,0.03666666666666667,logs/daily/2026-08-05/grading-run-33110762739-attempt-1.json
2026-08-06,core-12m-operational-v1,initial,33110762739,1,48,48,55.09840537789366,59.39870744914318,-55.09840537789366,35.55708333333334,-54.95760679065912,0.020833333333333332,0,False,shadow_only,25,54.857898010098864,20.45377489177489,-168.20427182934802,0.03666666666666667,logs/daily/2026-08-06/grading-run-33110762739-attempt-1.json
2026-08-07,core-12m-operational-v1,initial,33110762739,1,48,48,39.07228123750687,42.106477541219604,-39.07228123750687,13.353958333333336,-192.5895098832009,0.08333333333333333,0,False,shadow_only,25,54.857898010098864,20.45377489177489,-168.20427182934802,0.03666666666666667,logs/daily/2026-08-07/grading-run-33110762739-attempt-1.json
2026-08-08,core-12m-operational-v1,initial,33110762739,1,48,48,43.23565467083321,48.33457515960873,-26.23577888223947,32.20604166666667,-34.247030784854935,0.125,10,False,shadow_only,25,54.857898010098864,20.45377489177489,-168.20427182934802,0.03666666666666667,logs/daily/2026-08-08/grading-run-33110762739-attempt-1.json
2026-08-09,core-12m-operational-v1,initial,33110762739,1,48,48,37.2755483864133,39.918900067581625,-25.630830858319857,15.900208333333333,-134.43433950653665,0.125,0,False,shadow_only,25,54.857898010098864,20.45377489177489,-168.20427182934802,0.03666666666666667,logs/daily/2026-08-09/grading-run-33110762739-attempt-1.json
2026-08-10,core-12m-operational-v1,initial,33110762739,1,48,48,35.237824521000064,37.96836181537733,-35.237824521000064,33.439375000000005,-5.378239040054003,0.0,0,False,shadow_only,25,54.857898010098864,20.45377489177489,-168.20427182934802,0.03666666666666667,logs/daily/2026-08-10/grading-run-33110762739-attempt-1.json
