delivery_time_utc,actual_price,actual_revision
2026-07-29T00:00:00Z,112.69,initial
2026-07-29T00:30:00Z,110.7,initial
2026-07-29T01:00:00Z,112.87,initial
2026-07-29T01:30:00Z,111.86,initial
2026-07-29T02:00:00Z,111.61,initial
2026-07-29T02:30:00Z,112.91,initial
2026-07-29T03:00:00Z,114.09,initial
2026-07-29T03:30:00Z,114.18,initial
2026-07-29T04:00:00Z,128.73,initial
2026-07-29T04:30:00Z,129.75,initial
2026-07-29T05:00:00Z,128.43,initial
2026-07-29T05:30:00Z,131.74,initial
2026-07-29T06:00:00Z,121.83,initial
2026-07-29T06:30:00Z,127.32,initial
2026-07-29T07:00:00Z,112.75,initial
2026-07-29T07:30:00Z,115.1,initial
2026-07-29T08:00:00Z,116.51,initial
2026-07-29T08:30:00Z,114.2,initial
2026-07-29T09:00:00Z,115.73,initial
2026-07-29T09:30:00Z,115.39,initial
2026-07-29T10:00:00Z,119.13,initial
2026-07-29T10:30:00Z,122.39,initial
2026-07-29T11:00:00Z,118.87,initial
2026-07-29T11:30:00Z,121.1,initial
2026-07-29T12:00:00Z,119.09,initial
2026-07-29T12:30:00Z,119.59,initial
2026-07-29T13:00:00Z,122.83,initial
2026-07-29T13:30:00Z,124.6,initial
2026-07-29T14:00:00Z,133.39,initial
2026-07-29T14:30:00Z,136.7,initial
2026-07-29T15:00:00Z,129.43,initial
2026-07-29T15:30:00Z,122.97,initial
2026-07-29T16:00:00Z,123.47,initial
2026-07-29T16:30:00Z,128.41,initial
2026-07-29T17:00:00Z,155.17,initial
2026-07-29T17:30:00Z,167.64,initial
2026-07-29T18:00:00Z,170.27,initial
2026-07-29T18:30:00Z,169.55,initial
2026-07-29T19:00:00Z,173.03,initial
2026-07-29T19:30:00Z,194.72,initial
2026-07-29T20:00:00Z,154.51,initial
2026-07-29T20:30:00Z,149.35,initial
2026-07-29T21:00:00Z,138.23,initial
2026-07-29T21:30:00Z,131.71,initial
2026-07-29T22:00:00Z,119.11,initial
2026-07-29T22:30:00Z,121.56,initial
2026-07-29T23:00:00Z,123.84,initial
2026-07-29T23:30:00Z,123.08,initial
2026-07-30T00:00:00Z,121.93,initial
2026-07-30T00:30:00Z,123.24,initial
2026-07-30T01:00:00Z,121.35,initial
2026-07-30T01:30:00Z,120.43,initial
2026-07-30T02:00:00Z,124.96,initial
2026-07-30T02:30:00Z,123.61,initial
2026-07-30T03:00:00Z,124.04,initial
2026-07-30T03:30:00Z,124.58,initial
2026-07-30T04:00:00Z,134.58,initial
2026-07-30T04:30:00Z,134.48,initial
2026-07-30T05:00:00Z,133.24,initial
2026-07-30T05:30:00Z,137.24,initial
2026-07-30T06:00:00Z,130.41,initial
2026-07-30T06:30:00Z,134.6,initial
2026-07-30T07:00:00Z,133.07,initial
2026-07-30T07:30:00Z,128.01,initial
2026-07-30T08:00:00Z,125.69,initial
2026-07-30T08:30:00Z,127.08,initial
2026-07-30T09:00:00Z,127.18,initial
2026-07-30T09:30:00Z,124.39,initial
2026-07-30T10:00:00Z,121.27,initial
